,메뉴,가격
0,제육야채 감초고추장 비빔밥,"3,800"
1,진달래,"8,000"
2,해바라기,"10,000"
3,매화,"10,500"
4,돈치 고기고기,"6,100"
5,돈까스도련님 고기고기,"6,600"
6,새치 고기고기,"7,100"
7,칠리 찹쌀탕수육도련님,"4,500"
8,제육볶음,"4,700"
9,한우 함박스테이크& 청양 토네이도 소세지,"8,900"
10,돈까스도련님,"4,900"
11,한우 함박스테이크&토네이도 소세지,"8,900"
12,제육돈까스 도련님,"4,900"
13,돈치스팸,"5,000"
14,치킨제육,"5,000"
15,소불고기,"5,700"
16,믹스후라이,"6,000"
17,동백,"6,200"
18,송정식 떡갈비,"6,900"
19,송정식 떡갈비 Ⅱ,"6,900"
20,메가치킨제육,"7,800"
21,치킨마요 김치찌개 정식,"7,100"
22,치킨마요 부대찌개 정식,"7,600"
23,빅치킨마요 김치찌개 정식,"7,700"
24,빅치킨마요 부대찌개 정식,"8,200"
25,제육 김치찌개 정식,"8,800"
26,메가스팸마요,"5,900"
27,스팸마요,"4,000"
28,메가치킨마요,"6,200"
29,왕치킨마요,"5,100"
30,빅치킨마요,"4,400"
31,치킨마요,"3,800"
32,참치마요,"3,600"
33,돈치마요,"4,100"
34,돈까스 카레,"4,800"
35,스팸 김치볶음밥,"4,900"
36,김치볶음밥,"4,100"
37,스팸 철판볶음밥,"4,900"
38,소불고기 철판볶음밥,"5,100"
39,묵은지 김치찌개,"5,000"
40,부대찌개,"6,100"
41,빅 제많덮(빅 제육 많이 덮밥),"6,900"
42,제많덮(제육 많이 덮밥),"5,900"
43,스페셜 하이라이스,"5,900"
44,핫 치즈 닭갈비덮밥,"6,100"
45,오리지널 치즈 닭갈비덮밥,"6,100"
46,숯불직화구이 덮밥,"6,000"
47,마파두부 덮밥,"5,000"
48,왕카레돈까스덮밥,"6,100"
49,새우돈까스 덮밥,"4,400"
50,돈까스 덮밥,"4,300"
51,소불고기 감초고추장 비빔밥,"5,700"
52,시골제육 두부강된장 비빔밥,"5,500"
53,참치야채 감초고추장 비빔밥,"3,800"
54,튼튼도시락,"5,300"
55,단품 묵은지 김치찌개,"4,400"
56,단품 카레,"2,900"
57,반찬 순살 고등어 간장구이,"3,900"
58,단품 부대찌개,"4,900"
59,반찬 치킨,"3,800"
60,반찬 고기고기,"3,600"
61,반찬 돈까스도련님,"4,100"
62,반찬 제육볶음,"3,500"
63,반찬 토네이도 소세지,"3,200"
64,반찬 돈까스,"2,900"
65,3종 미니반찬B,"1,300"
66,3종 미니반찬A,"1,300"
67,오징어젓갈,600
68,한솥 두부강된장소스,"1,800"
69,한솥 감초볶음고추장소스,500
70,김치,500
71,무말랭이 무침,500
72,한솥밥,"1,000"
73,현미밥,"1,700"
74,케이준후라이,"1,900"
75,해시 포테이토 스틱,"2,000"
76,치즈버터 해시 포테이토 스틱,"2,200"
77,허니버터 해시 포테이토 스틱,"2,200"
78,미니 찹쌀탕수육,"2,300"
79,뉴 감자고로케,"2,700"
80,미니 찹쌀핫도그,"2,800"
81,멘치카츠,"2,800"
82,통현미 닭강정(소),"3,500"
83,통현미 닭강정(중),"8,500"
84,후라이드 순살(소)_양념치킨소스,"4,000"
85,후라이드 순살(소)_케이준소스,"4,000"
86,후라이드 순살(중),"7,500"
87,"치킹 반반순살(양념, 후라이드)","16,900"
88,치킹 반반순살(후라이드),"16,900"
89,제주녹차 미니꿀호떡,"2,500"
